Group,Model,Completed,Expected,Pending,Completion_Percent
total,LogisticRegression,15,15,0,100.0
total,DecisionTree,15,15,0,100.0
total,RandomForest,15,15,0,100.0
total,SVM,15,15,0,100.0
total,XGBoost,15,15,0,100.0
total,CatBoost,15,15,0,100.0
male,LogisticRegression,15,15,0,100.0
male,DecisionTree,15,15,0,100.0
male,RandomForest,15,15,0,100.0
male,SVM,15,15,0,100.0
male,XGBoost,15,15,0,100.0
male,CatBoost,15,15,0,100.0
female,LogisticRegression,15,15,0,100.0
female,DecisionTree,15,15,0,100.0
female,RandomForest,15,15,0,100.0
female,SVM,15,15,0,100.0
female,XGBoost,15,15,0,100.0
female,CatBoost,15,15,0,100.0
