Group,Model,N,Events,AUROC,Average_Precision,Brier,Log_Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Calibration_Intercept,Calibration_Slope,Threshold,AUROC_CI_Low,AUROC_CI_High,AP_CI_Low,AP_CI_High,Brier_CI_Low,Brier_CI_High
total,LogisticRegression,6605,1850,0.8398433512376731,0.6793573757233721,0.13925797682320137,0.4323709826775586,0.7963663890991673,0.4972972972972973,0.9127234490010515,0.6891385767790262,0.5777080062794349,0.0021027902760768604,1.0392728661905963,0.5,0.829529630536238,0.8502552005039431,0.6565882787670025,0.7025900941331606,0.13437313107647159,0.14448455884088565
total,DecisionTree,6605,1850,0.8276696507232784,0.6547714086612715,0.14338433923937652,0.443646680824598,0.7863739591218774,0.4962162162162162,0.8992639327024186,0.6571224051539012,0.5654450261780105,-0.01017250252333518,0.9793951718825511,0.5,0.8170261341528148,0.8387319524665247,0.6319372961664138,0.6776690611399685,0.13845694410257353,0.14828994321644778
total,RandomForest,6605,1850,0.8379913036064455,0.6713894050769331,0.14010627250072089,0.4338842628402274,0.79333838001514,0.4918918918918919,0.9106203995793901,0.6816479400749064,0.5714285714285714,0.07614650913606051,1.1106240870363426,0.5,0.8273356102593897,0.8487034387642385,0.6493076760267297,0.6937191966002746,0.13538503550222283,0.14498394737857354
total,SVM,6605,1850,0.8407692613749397,0.6798861494960347,0.14002617374981094,0.4357222124650127,0.7974261922785768,0.4854054054054054,0.9188222923238696,0.6993769470404985,0.5730695596681558,-0.010473423589433033,0.9991711574413097,0.5,0.8301474616251711,0.8505841219021492,0.6579161161466102,0.7020650955869006,0.1345548401734741,0.14519846729308986
total,XGBoost,6605,1850,0.8404952397192145,0.6778242881490723,0.1389627022406777,0.42984769849993326,0.7947009841029523,0.5237837837837838,0.900105152471083,0.6710526315789473,0.5883424408014571,0.010163821542394012,1.013154963254292,0.5,0.8298066289265625,0.8504024219182704,0.6557822680496462,0.7003529226540702,0.1339994659276109,0.14385032589770055
total,CatBoost,6605,1850,0.8417090402705545,0.6779515477097797,0.13857864172313394,0.42881666304587324,0.7942467827403482,0.5259459459459459,0.8986330178759201,0.6687285223367697,0.588804841149773,0.01115451067884393,1.0110663031780123,0.5,0.8311853388953077,0.8519921870371266,0.6555068342051918,0.7007749248674692,0.13365364850095415,0.14382558308877677
male,LogisticRegression,3181,776,0.8373202306191998,0.6428458700815278,0.13047640181012105,0.41039295258062514,0.8076076705438542,0.4574742268041237,0.9205821205821206,0.6501831501831502,0.5370650529500757,-0.042291489446054736,1.1091357759125324,0.5,0.8220996467675451,0.8536578272140986,0.6069312801483757,0.6771256196035351,0.12379815480824251,0.13747121513442837
male,DecisionTree,3181,776,0.8239345114345114,0.601114803104857,0.1358195656416069,0.4228095705934154,0.8016347060672745,0.46005154639175255,0.9118503118503118,0.6274165202108963,0.5308550185873606,-0.023436312225492466,0.9680527066542198,0.5,0.8083288574702167,0.8399855409638776,0.5638119670993782,0.6376856548720686,0.12856308204883252,0.14296639956521845
male,RandomForest,3181,776,0.8356318451679275,0.6278095306187396,0.1313771702413154,0.4109578371949163,0.8038352719270669,0.4252577319587629,0.925987525987526,0.6496062992125984,0.514018691588785,0.08825780376172902,1.1065286954937188,0.5,0.8200213109682292,0.8511446514507562,0.5926414391425834,0.6642982435371239,0.12456996573798498,0.13849340220434583
male,SVM,3181,776,0.8373095141136379,0.6429678103464481,0.13087682422677377,0.41084809122527055,0.8063502043382584,0.44458762886597936,0.9230769230769231,0.6509433962264151,0.5283307810107197,-0.07849674326524952,0.9638478735863739,0.5,0.8216017762902813,0.8530663808918494,0.6073634982658903,0.6784214316149122,0.12338965668942621,0.1385318485332505
male,XGBoost,3181,776,0.8382445292239107,0.6309762574467844,0.13079822726089183,0.40846284935073107,0.8069789374410563,0.4574742268041237,0.9197505197505198,0.6478102189781022,0.5362537764350453,0.02657948226709194,1.0297509353076775,0.5,0.8223375515735485,0.8533022323045684,0.5940451862649914,0.667217088036554,0.12382586391164144,0.1378541720165722
male,CatBoost,3181,776,0.8401177743961249,0.6355008357394352,0.12986491009297146,0.4063187409027825,0.8054071046840616,0.4484536082474227,0.9205821205821206,0.6456400742115028,0.529277566539924,0.032811995560271943,1.0404294453538954,0.5,0.8246294185998033,0.855302609135079,0.5995086616950355,0.6713998221120032,0.12291408432739642,0.13697821290159
female,LogisticRegression,3424,1074,0.8375351638337494,0.7021406406529478,0.14801738599746048,0.456395660179486,0.7862149532710281,0.5465549348230913,0.8957446808510638,0.7055288461538461,0.6159496327387198,-0.008256797201377687,1.0657911472459445,0.5,0.8231604984045202,0.851961244993927,0.6748885159979604,0.7298129971674371,0.14141200870766824,0.1548903439550074
female,DecisionTree,3424,1074,0.8281231427552598,0.6812459121810752,0.15124127826727743,0.4653883339085224,0.7809579439252337,0.568901303538175,0.8778723404255319,0.6804008908685969,0.6196754563894523,-0.03721185164158405,0.9341507016393882,0.5,0.8137209239360282,0.8425307613731938,0.6511501810255267,0.7116808713629993,0.1445521288926643,0.15856787817427068
female,RandomForest,3424,1074,0.834815167003447,0.694235982043401,0.1487198618034145,0.45754296403975675,0.7815420560747663,0.542830540037244,0.8906382978723404,0.694047619047619,0.6091954022988506,0.07270543656074246,1.129425110811383,0.5,0.820687291862488,0.848826752852837,0.6655430562209077,0.7261509779304607,0.142055075456102,0.15489994825335918
female,SVM,3424,1074,0.8384393200998455,0.7011292693487912,0.1488406575628068,0.4588647856441969,0.7830023364485982,0.5325884543761639,0.8974468085106383,0.7035670356703567,0.606253312135665,-0.015205652643080561,0.993315899449656,0.5,0.8237625548051525,0.8518805778438571,0.6729654966971459,0.728820179237346,0.14176602637135255,0.15642067643787988
female,XGBoost,3424,1074,0.8368703197432544,0.699031172622364,0.14785862860985652,0.4538202025357602,0.7835864485981309,0.5642458100558659,0.8838297872340426,0.689419795221843,0.620583717357911,0.010291022870540817,1.0127946477062393,0.5,0.8217439577216018,0.8514228041087699,0.6683705142524838,0.7283288233086905,0.14068159342749553,0.15507879250285259
female,CatBoost,3424,1074,0.8381136336621893,0.7023407591116734,0.1473869210898055,0.452965416338105,0.7856308411214953,0.5651769087523277,0.8863829787234042,0.6945080091533181,0.6232032854209446,0.03173867357524969,1.060442292384327,0.5,0.8247183948281728,0.8522984790634257,0.6746036887273653,0.7301689148783433,0.1403482826623069,0.15422679708875797
