Group,Model_A,Model_B,Delta_AUROC_A_minus_B,Delta_AUROC_CI_Low,Delta_AUROC_CI_High,Delta_AP_A_minus_B,Delta_AP_CI_Low,Delta_AP_CI_High
total,LogisticRegression,DecisionTree,0.012173700514394703,0.00785964727375089,0.01621441754808116,0.02458596706210059,0.014652180053243799,0.033970762414244064
total,LogisticRegression,RandomForest,0.0018520476312275935,-0.0009041986736116226,0.004570023639698667,0.007967970646438949,0.0009132044542797536,0.015509175913321451
total,LogisticRegression,SVM,-0.0009259101372666168,-0.0021877201423876223,0.00030848292458279743,-0.000528773772662583,-0.002340276682896267,0.0012967984334662798
total,LogisticRegression,XGBoost,-0.0006518884815414072,-0.003065690489060094,0.0017196188608000196,0.0015330875742998185,-0.003865790066668814,0.006708976239185096
total,LogisticRegression,CatBoost,-0.0018656890328814235,-0.003873177211253925,0.00022052406345192548,0.0014058280135923473,-0.0040110306915250695,0.0066217945794853844
total,DecisionTree,RandomForest,-0.01032165288316711,-0.01358205736944879,-0.006962692811626037,-0.01661799641566164,-0.024698522977489624,-0.008920859429276168
total,DecisionTree,SVM,-0.01309961065166132,-0.01722476167848262,-0.00900839057062272,-0.025114740834763172,-0.03491579678181321,-0.015326601779935549
total,DecisionTree,XGBoost,-0.01282558899593611,-0.016288860821308107,-0.009458988777748997,-0.02305287948780077,-0.031133387142887898,-0.01440243151090805
total,DecisionTree,CatBoost,-0.014039389547276127,-0.017285671308901962,-0.010670582377675812,-0.02318013904850824,-0.030982007662632708,-0.014882602535476335
total,RandomForest,SVM,-0.0027779577684942103,-0.005394976811730926,-1.1139011034113289e-06,-0.008496744419101532,-0.015237495310838175,-0.0018535718587155434
total,RandomForest,XGBoost,-0.0025039361127690007,-0.004508818145497959,-0.000599411304642015,-0.00643488307213913,-0.011554476544419564,-0.0009384566824072953
total,RandomForest,CatBoost,-0.003717736664109017,-0.005358078675851927,-0.0020858685667269903,-0.0065621426328466015,-0.011242265059659733,-0.0015337845589257835
total,SVM,XGBoost,0.00027402165572520953,-0.0019087733513785871,0.002490465733821353,0.0020618613469624014,-0.002965552166358515,0.007351938087599882
total,SVM,CatBoost,-0.0009397788956148068,-0.0030880632193750453,0.0011173189586554048,0.0019346017862549303,-0.0029428388213572133,0.00707112068362197
total,XGBoost,CatBoost,-0.0012138005513400163,-0.0023254549428479375,-0.00012836568193152592,-0.00012725956070747113,-0.0027018585510606872,0.002344067083487602
male,LogisticRegression,DecisionTree,0.01338571918468845,0.00715933867376059,0.020154146804292353,0.04173106697667084,0.024082242169949926,0.058531260614781366
male,LogisticRegression,RandomForest,0.0016883854512722563,-0.0028755485969947396,0.006211391881164927,0.015036339462788262,0.002611530948663085,0.027404085751741313
male,LogisticRegression,SVM,1.0716505561947365e-05,-0.0020952777332185284,0.0023325140181633367,-0.00012194026492029497,-0.0038296163221929356,0.0039502000591402076
male,LogisticRegression,XGBoost,-0.0009242986047108825,-0.005269226302407243,0.0035345106995539497,0.011869612634743398,0.0031422089860703105,0.021177951621125842
male,LogisticRegression,CatBoost,-0.0027975437769250933,-0.006330837149769525,0.0005612077716373947,0.00734503434209266,-0.0018793674909142772,0.01568011605143764
male,DecisionTree,RandomForest,-0.011697333733416193,-0.016982515648037495,-0.006379847901783909,-0.026694727513882577,-0.039418677441284404,-0.013231312311353872
male,DecisionTree,SVM,-0.013375002679126502,-0.020237066223633682,-0.006258613566258672,-0.041853007241591134,-0.05831007647961734,-0.02397072303074296
male,DecisionTree,XGBoost,-0.014310017789399332,-0.019568760385552268,-0.009261674832602037,-0.02986145434192744,-0.0454623842541273,-0.013407445075715094
male,DecisionTree,CatBoost,-0.016183262961613543,-0.021859559307175508,-0.010224031494669564,-0.03438603263457818,-0.05050118332524413,-0.017647544933553805
male,RandomForest,SVM,-0.0016776689457103089,-0.006043770211130964,0.002722188231326433,-0.015158279727708557,-0.0259249934555236,-0.004403862212650119
male,RandomForest,XGBoost,-0.002612684055983139,-0.005557505530809609,0.00048538880456982093,-0.0031667268280448635,-0.012211590193929433,0.0071294499410554345
male,RandomForest,CatBoost,-0.0044859292281973495,-0.007531005174604285,-0.001551381966543883,-0.007691305120695602,-0.017395938727318823,0.0024524220493811226
male,SVM,XGBoost,-0.0009350151102728299,-0.005086250341676665,0.0032057415998495336,0.011991552899663693,0.002883332272156822,0.020851641994601666
male,SVM,CatBoost,-0.0028082602824870406,-0.006380670872378427,0.0006567927516611077,0.007466974607012955,-0.001199912163607611,0.01512132147810587
male,XGBoost,CatBoost,-0.0018732451722142107,-0.004159353667383866,0.000455075656818729,-0.004524578292650738,-0.010463019754168695,0.0014876242970047137
female,LogisticRegression,DecisionTree,0.009412021078489596,0.004268935204169666,0.014631959079665977,0.02089472847187257,0.00620839038494917,0.034242286863402416
female,LogisticRegression,RandomForest,0.002719996830302329,-0.0007578731589909654,0.006233828913862752,0.00790465860954681,-0.002472094825655538,0.017703053547146526
female,LogisticRegression,SVM,-0.0009041562660960789,-0.002635434609677428,0.0006942872317700352,0.0010113713041566275,-0.0015115465948103007,0.0035174430708645034
female,LogisticRegression,XGBoost,0.0006648440904949426,-0.002659214113538008,0.004237837337475588,0.003109468030583762,-0.006130628564870314,0.012913493972351251
female,LogisticRegression,CatBoost,-0.0005784698284398981,-0.0032484956480717613,0.002260003537341974,-0.00020011845872558442,-0.008086349060820596,0.00786686441806165
female,DecisionTree,RandomForest,-0.006692024248187267,-0.01066068162932764,-0.0030164131605193104,-0.01299006986232576,-0.02360863681038109,-0.0023618655534914635
